sid,firstName,lastName,draftDate,releaseDate
66,Lion,Verchambre,10/12/2023,05/30/2026
67,Giustino,Ragsdall,01/11/2023,11/24/2026
68,Arney,Folonin,03/19/2023,08/22/2026
69,Nils,Boldry,02/07/2022,07/02/2026
70,Clemens,Burras,07/05/2022,05/10/2026
71,Torrance,McGorley,05/20/2023,07/10/2026
72,Jacky,Stilldale,12/25/2023,01/31/2026
73,Dave,Screen,03/23/2023,05/06/2026
74,Nathaniel,Frazier,07/14/2022,01/25/2026
75,Farrel,Crowcum,12/22/2023,08/09/2026
76,Walsh,Stiegars,09/22/2023,03/02/2026
77,Lion,Brind,03/16/2023,04/10/2026
78,Mikol,Willoway,12/13/2022,12/14/2026
79,Claus,Bjorkan,02/05/2022,08/01/2026
80,Abraham,Horick,06/03/2022,02/18/2026
81,Dov,Brenton,07/18/2023,11/28/2026
82,Seamus,Fragino,07/08/2023,05/25/2026
83,Ralf,Helsdon,05/07/2023,07/15/2026
84,Courtnay,Todaro,03/02/2022,03/15/2026
85,Teodorico,Pembridge,12/26/2022,12/15/2026
86,Thacher,Tethcote,10/19/2022,09/29/2026
87,Miner,Borg,04/20/2023,05/05/2026
88,Broddie,Lettsom,06/18/2022,02/23/2026
89,Barrett,Dobbison,06/09/2022,05/15/2026
90,Uri,McSkeagan,11/17/2022,04/19/2026
91,Broddy,Tomaszkiewicz,03/28/2023,12/14/2026
92,Wyndham,Cordelle,04/03/2022,03/18/2026
93,Lauritz,Ascraft,09/29/2022,08/27/2026
94,Vince,Stoakes,09/19/2023,08/03/2026
95,Jeromy,Potteril,01/03/2023,11/10/2026
96,Raynor,Heigl,04/19/2022,12/01/2026
97,Hartley,Petroselli,04/10/2023,07/19/2026
98,Moshe,Bulger,08/29/2023,09/21/2026
99,Ham,Dumingo,07/09/2022,07/28/2026
100,Kristofor,Fletcher,02/16/2023,12/31/2026
101,Marcos,Vowdon,06/05/2022,02/04/2026
102,Ximenes,Bassam,09/02/2022,11/23/2026
103,Fairleigh,Olyet,07/25/2022,02/19/2026
104,Giavani,Jude,12/31/2023,02/06/2026
105,Blane,Zebedee,07/19/2023,02/07/2026
106,Brant,Kesey,03/05/2022,11/08/2026
107,Godfry,Grimshaw,02/25/2023,06/23/2026
108,Kleon,O'Clery,07/25/2023,12/08/2026
109,Othello,Scolts,10/05/2023,11/30/2026
110,Sigismond,Braunlein,11/10/2023,04/14/2026
111,Bertie,Gouldthorp,03/09/2022,10/05/2026
112,Ludwig,Striker,04/11/2022,08/18/2026
113,Efren,Perotti,09/27/2023,06/22/2026
114,Davy,McNickle,04/19/2022,09/29/2026
115,Caesar,Gammack,04/05/2023,03/09/2026
116,Jdavie,Delahunt,01/11/2022,01/04/2026
117,Kennedy,Goudard,10/16/2023,09/17/2026
118,Svend,Dunsmore,07/13/2022,05/09/2026
119,Orson,De'Ath,02/04/2022,03/14/2026
120,Kenton,Topliss,08/24/2022,11/09/2026
121,Isaiah,Partleton,02/22/2022,07/03/2026
122,Hayden,Hinsch,03/31/2022,02/10/2026
123,Josh,Tretwell,03/03/2022,08/24/2026
124,Nicolai,Esselin,02/07/2023,01/17/2026
125,Stanislaw,Ryam,10/18/2022,12/01/2026
126,Mackenzie,Hails,05/22/2022,09/29/2026
127,Filip,Giamuzzo,05/25/2022,05/09/2026
128,Garek,Clemmow,09/22/2022,07/05/2026
129,Myles,Coxen,10/10/2023,07/21/2026
130,Wilmar,Danilin,06/05/2023,01/19/2026
131,Dunn,Trelease,04/22/2022,12/25/2026
132,Euell,Lehrian,09/28/2023,03/24/2026
133,Gilbert,MacMillan,02/06/2023,07/20/2026
134,Augy,Mateiko,04/26/2022,11/11/2026
135,Eldon,Gelletly,04/17/2023,06/06/2026
136,Winfred,Clemow,04/28/2023,07/08/2026
137,Brucie,Vigers,12/25/2022,12/13/2026
138,Eamon,Fieldgate,10/08/2023,09/09/2026
139,Colin,Gresswood,09/19/2022,04/17/2026
140,Esteban,Georgievski,02/02/2023,11/21/2026
141,Neel,Limerick,09/09/2022,08/27/2026
142,Durward,Dixsee,03/14/2023,11/03/2026
143,Olenolin,Monard,12/18/2023,01/01/2026
144,Leroy,Banfill,02/28/2023,06/06/2026
145,Justen,MacGilfoyle,05/02/2023,04/13/2026
146,Gianni,Cosslett,12/30/2023,04/06/2026
147,Wiatt,Secombe,06/17/2022,10/26/2026
148,Esme,Odell,07/14/2023,01/31/2026
149,Miguel,MacShane,03/24/2023,11/16/2026
150,D'arcy,Rubinsztein,09/18/2023,04/20/2026
151,Toby,Chicco,05/13/2023,10/11/2026
152,Roderic,Wylie,08/31/2023,11/01/2026
153,Burlie,Brinsden,11/11/2022,06/10/2026
154,Dewie,Penhaleurack,07/03/2022,07/10/2026
155,Morris,Brisbane,02/07/2023,10/26/2026
156,Ulick,Malafe,11/21/2022,09/20/2026
157,Florian,Cattlow,07/17/2023,11/17/2026
158,Joel,Haysar,06/08/2023,09/10/2026
159,Gare,Rummin,11/08/2023,11/24/2026
160,Kristofer,Rummins,05/01/2022,01/10/2026
161,Lancelot,Head,06/04/2023,03/30/2026
162,Guillaume,Cochran,04/15/2022,06/18/2026
163,Welsh,Breton,12/27/2022,05/14/2026
164,Shaw,Yewen,01/17/2022,10/29/2026
165,Eldredge,Denton,06/16/2022,03/20/2026
166,Erny,Shackle,12/07/2023,05/11/2026
167,Burlie,Dalliwatr,10/23/2022,08/14/2026
168,Niall,Smalecombe,02/21/2023,11/04/2026
169,Conant,Mosdill,11/21/2022,01/15/2026
170,Brewster,Cusick,07/26/2023,09/05/2026
171,Georas,Bilton,07/03/2022,11/09/2026
172,Torin,Pengilley,02/19/2022,02/09/2026
173,Hillie,Emblow,12/26/2022,08/16/2026
174,Zackariah,Bolin,07/14/2023,04/01/2026
175,Vanya,Deignan,03/17/2023,10/21/2026
176,Andre,Sturrock,09/29/2023,04/30/2026
177,Cecilius,Garnall,02/13/2023,04/12/2026
178,Arie,Traves,01/26/2022,05/11/2026
179,Wilburt,O'Halloran,12/26/2023,02/09/2026
180,Arthur,Whittall,02/24/2023,04/16/2026
181,Erin,Ducker,08/08/2022,01/18/2026
182,Tristan,Brough,11/28/2023,05/02/2026
183,Artemas,Patemore,04/11/2022,03/16/2026
184,Joachim,Boshers,02/06/2022,01/20/2026
185,Derry,Guichard,06/27/2022,03/23/2026
186,Karel,Shorie,09/01/2023,05/03/2026
187,Gar,Porch,08/21/2022,07/07/2026
188,Toddie,Ligerton,12/19/2023,06/09/2026
189,Kelbee,Masic,04/29/2022,08/14/2026
190,Whit,Verman,04/14/2023,11/26/2026
191,Newton,Osbidston,11/25/2022,02/03/2026
192,Linn,Sherwen,05/31/2023,02/06/2026
193,Lancelot,Perkins,10/18/2022,05/23/2026
194,Jack,Lace,06/06/2022,06/26/2026
195,Mile,Trahearn,11/17/2023,10/22/2026
196,Pepito,Jowett,07/25/2022,02/06/2026
197,Fraze,Carlow,12/25/2023,01/22/2026
198,Brade,Jonas,06/09/2023,05/23/2026
199,Felic,Bagnell,10/20/2023,02/27/2026
200,Virge,Stanaway,07/19/2023,10/30/2026
201,Hayward,Maus,01/08/2023,12/05/2026
202,Yorgo,Clampe,12/02/2022,10/08/2026
203,Zack,Handmore,08/08/2022,09/04/2026
204,Desmond,Goodfellowe,08/01/2022,05/16/2026
205,Bill,Carmo,08/30/2023,10/05/2026
206,Eal,Leall,11/21/2022,07/31/2026
207,Jason,Deane,09/19/2023,06/19/2026
208,Lyn,Brekonridge,10/01/2022,02/06/2026
209,Val,Abotson,07/22/2022,01/17/2026
210,Lannie,Calcut,08/11/2023,02/07/2026
211,Jon,Havoc,12/18/2022,07/13/2026
212,Joshuah,Bruntje,06/30/2022,04/10/2026
213,Craggie,Fagan,08/09/2022,10/07/2026
214,Curr,Meugens,05/18/2023,12/16/2026
215,Skipp,Klug,03/10/2022,11/06/2026
216,Alden,Jacklings,04/16/2023,11/17/2026
217,Reidar,Wolford,01/18/2022,09/14/2026
218,Valdemar,Harlock,08/23/2022,02/21/2026
219,Ives,Roizin,03/11/2023,08/24/2026
220,Doy,Aberdeen,03/15/2022,09/06/2026
221,Perice,Benck,03/13/2023,01/02/2026
222,Curr,Gladwell,07/05/2023,04/09/2026
223,Jarrod,Rumsey,06/22/2022,08/01/2026
224,Symon,Sommerville,06/16/2022,03/11/2026
225,Erik,Hugonneau,07/05/2023,05/17/2026
226,Gerhardt,O'Fallowne,09/13/2022,07/31/2026
227,Allan,Dunmore,12/01/2022,10/09/2026
228,Paxton,Fanstone,09/07/2023,04/16/2026
229,Win,Oglesbee,01/15/2023,08/18/2026
230,Reynold,Payley,09/01/2022,09/23/2026
231,Antonio,Reynold,06/21/2023,07/05/2026
232,Gardner,Ainsley,11/21/2022,07/21/2026
233,Nicol,Sweatman,04/12/2022,02/21/2026
234,Barthel,Kendle,05/08/2023,04/16/2026
235,Buddy,Darte,03/06/2022,09/04/2026
236,Hakim,Moncarr,11/08/2022,11/11/2026
237,Norbie,Cuttin,05/03/2022,06/25/2026
238,Cozmo,MacGorman,06/12/2022,02/01/2026
239,Salomo,Geare,08/26/2023,08/19/2026
240,Jozef,Bourke,07/12/2023,04/14/2026
241,Humfrey,Rebeiro,07/08/2022,12/20/2026
242,Gradeigh,McGarrity,07/07/2022,05/22/2026
243,Frans,Lodemann,04/06/2023,04/22/2026
244,Yvon,Northern,01/20/2023,07/28/2026
245,Gearalt,Phillpot,05/25/2023,07/23/2026
246,Findlay,Nayshe,01/19/2023,01/13/2026
247,Warde,Pargent,01/07/2023,03/13/2026
248,Mervin,Weiner,07/26/2022,11/15/2026
249,Derby,Stoade,05/01/2022,07/15/2026
250,Eugenio,Chandlar,10/05/2022,05/10/2026
251,Renato,Broose,10/24/2022,08/06/2026
252,Ogdon,Rhelton,10/11/2023,09/02/2026
253,Johann,De Courtney,11/30/2023,04/21/2026
254,Morse,Shakelade,01/05/2023,01/03/2026
255,Gonzalo,Dunston,03/15/2023,10/22/2026
256,Konstantine,Aldersley,10/09/2023,04/03/2026
257,Romain,Mathers,08/29/2022,07/25/2026
258,Quintus,Leigh,09/02/2023,02/04/2026
259,Lucas,Roebuck,01/06/2022,04/29/2026
260,Cody,Glassborow,11/06/2022,08/02/2026
261,Lane,Ryan,05/24/2022,07/19/2026
262,Smitty,Dirand,08/27/2022,12/13/2026
263,Bent,Joanic,12/28/2023,09/29/2026
264,Wayne,Mart,12/21/2023,03/03/2026
265,Basil,Leadston,11/14/2023,10/15/2026
266,Timotheus,Scotter,08/28/2023,10/03/2026
267,Norry,Deane,10/13/2023,03/14/2026
268,Baxy,Akester,01/10/2022,02/14/2026
269,Tito,Garnett,08/24/2022,09/19/2026
270,Felizio,Jeenes,05/16/2023,04/02/2026
271,Jerri,Kemmer,04/07/2022,09/25/2026
272,Ilaire,Dymidowski,09/23/2023,04/21/2026
273,Bobbie,Casali,07/08/2022,07/14/2026
274,Lodovico,Hast,04/03/2023,03/23/2026
275,Rudolf,Starrs,04/06/2023,12/23/2026
276,Roley,Edmons,03/31/2022,05/01/2026
277,Silas,Megarry,02/10/2022,04/30/2026
278,Horton,Crawford,08/11/2022,07/28/2026
279,Culver,Strut,05/16/2022,01/04/2026
280,Burton,McKeighen,10/02/2023,05/21/2026
281,Warden,McCoid,01/25/2022,05/17/2026
282,Jamill,Asgodby,11/29/2023,05/21/2026
283,Nolly,Ingerson,06/20/2022,04/15/2026
284,Maxy,Darinton,01/04/2023,03/18/2026
285,Rudyard,Smitherman,04/24/2022,09/08/2026
286,Stephan,Van Der Walt,02/28/2022,12/12/2026
287,Sven,Tilling,04/25/2022,12/01/2026
288,Miguel,Fairey,07/09/2022,11/11/2026
289,Mickey,Bowdon,12/25/2023,06/23/2026
290,Torrance,Baldry,10/18/2022,05/17/2026
291,Gannon,Shanks,04/20/2023,04/17/2026
292,Radcliffe,Broadbury,09/20/2022,04/23/2026
293,Ruben,Garaway,02/21/2023,11/03/2026
294,Phil,Kemsley,03/31/2022,01/15/2026
295,Pedro,O'Currane,02/22/2023,01/25/2026
296,Stefano,Plumptre,05/27/2023,04/11/2026
297,Galvan,Britzius,12/05/2023,09/09/2026
298,Berky,Hammerman,09/02/2022,07/12/2026
299,Car,Heaker,03/09/2022,11/28/2026
300,Papageno,Pordall,09/17/2022,11/27/2026
301,Herbie,Bourgour,12/15/2022,03/11/2026
302,Kipp,Gandy,10/22/2023,09/12/2026
303,Frasco,Fraczkiewicz,06/25/2022,11/09/2026
304,Cello,Baber,02/05/2022,03/02/2026
305,Ewan,Piele,04/24/2023,12/24/2026
306,Rafaellle,Sainsbury,12/28/2023,11/28/2026
307,Armando,Verrick,06/26/2022,06/01/2026
308,Sascha,Olivet,06/22/2023,05/06/2026
309,Spense,Horsted,07/15/2023,12/05/2026
310,Ozzie,Eytel,04/25/2023,04/20/2026
311,Kaleb,Foux,01/08/2023,07/29/2026
312,Reidar,Klaesson,11/17/2023,02/23/2026
313,Delano,Orable,08/31/2022,12/24/2026
314,Emlyn,Asplen,11/05/2022,05/11/2026
315,Tedman,Kohtler,10/09/2022,10/21/2026
316,Paolo,Arnefield,08/25/2022,02/03/2026
317,Phillip,Aubin,06/27/2022,07/29/2026
318,Hermon,Perrygo,10/01/2022,04/19/2026
319,Donall,Fundell,03/27/2023,09/09/2026
320,Werner,Royans,11/08/2022,06/26/2026
321,Everett,Reiglar,03/05/2022,04/29/2026
322,Hilarius,Portugal,11/04/2022,06/05/2026
323,Filmer,Fleote,04/12/2022,12/25/2026
324,Dru,Currier,03/04/2023,10/29/2026
325,Bogey,Bartomeu,10/23/2023,05/06/2026
326,Enrico,Mangenet,03/12/2023,11/15/2026
327,Inger,Renfrew,08/08/2023,08/04/2026
328,Renado,Maffey,06/13/2023,12/28/2026
329,Humfried,Fantham,06/13/2022,02/24/2026
330,Alvis,MacFadden,08/18/2022,08/18/2026
331,Bernie,Bassford,06/08/2023,11/10/2026
332,Pierce,Ranvoise,01/12/2023,02/01/2026
333,Abey,Shurmore,06/14/2023,02/27/2026
334,Ferrel,Bordman,01/08/2023,02/04/2026
335,Hakim,O' Mara,03/30/2022,04/12/2026
336,Zacharie,Mougin,10/26/2023,05/05/2026
337,Gordie,Yakovl,09/15/2022,10/20/2026
338,Marve,Serle,08/15/2023,05/20/2026
339,Rafaellle,Blumer,06/24/2023,12/07/2026
340,Egan,Dobrowski,01/17/2022,09/06/2026
341,Wilbur,Levermore,06/29/2023,02/11/2026
342,Freeland,Falck,07/29/2023,06/05/2026
343,Anatole,McMarquis,07/20/2022,11/07/2026
344,Nataniel,Salla,06/04/2023,07/02/2026
345,Randolf,Trussman,04/26/2023,09/03/2026
346,Donal,Conichie,09/27/2023,01/13/2026
347,Bennie,Faulconbridge,03/15/2023,05/02/2026
348,Clayton,Knoble,01/23/2022,05/02/2026
349,Trstram,MacIlriach,07/22/2023,06/22/2026
350,Tallie,Tidridge,04/16/2023,11/25/2026
351,Gibbie,Harroll,05/23/2022,11/09/2026
352,Tymon,Haxley,07/28/2023,04/27/2026
353,Nicolai,Swanwick,08/21/2022,02/20/2026
354,Ignaz,De Michele,11/11/2023,03/01/2026
355,Justinian,Hurley,03/21/2023,06/18/2026
356,Ephraim,Shawel,09/11/2022,03/12/2026
357,Link,Dahle,04/19/2022,05/07/2026
358,Leupold,Gillebert,03/03/2023,11/02/2026
359,Norris,Kupka,08/05/2022,06/06/2026
360,Allister,Cornehl,11/21/2022,12/30/2026
361,Abby,Mangeney,09/03/2023,11/25/2026
362,Bancroft,Henner,12/11/2023,05/11/2026
363,Ode,Anstice,01/26/2022,12/20/2026
364,Gearalt,Ruddle,05/29/2023,06/11/2026
365,Riordan,Sherred,08/27/2023,08/22/2026
366,Morie,Cudby,03/22/2022,04/09/2026
367,Luca,Achromov,12/08/2022,02/07/2026
368,Alvie,Kerins,09/27/2022,03/31/2026
369,Edouard,Cleary,11/01/2023,12/27/2026
370,Jessie,Jandel,02/28/2022,10/23/2026
371,Yardley,De Blasi,10/19/2022,11/20/2026
372,Obadiah,Garnul,07/16/2022,11/15/2026
373,Norton,Haworth,08/29/2022,04/29/2026
374,Ira,Stolberg,10/18/2023,03/12/2026
375,Nilson,Ysson,06/05/2023,04/22/2026
376,Payton,Yedy,08/05/2023,01/26/2026
377,Brantley,Minthorpe,12/06/2022,01/05/2026
378,Jeno,Manton,02/07/2022,12/11/2026
379,Berne,Roughey,02/20/2023,12/09/2026
380,Gustav,Troillet,01/03/2023,03/18/2026
381,Faber,Habbeshaw,03/04/2022,12/05/2026
382,Aldous,Elix,03/08/2023,04/04/2026
383,Otho,Robardet,04/22/2022,02/12/2026
384,Maurizio,Cleever,04/17/2023,07/08/2026
385,Elihu,McDonnell,05/27/2023,11/25/2026
386,Freemon,de Aguirre,01/20/2022,04/22/2026
387,Redd,Eayres,10/25/2023,12/19/2026
388,Augy,Daveren,08/11/2023,06/19/2026
389,Jerrold,Lupton,05/24/2022,05/19/2026
390,Mannie,Lung,01/24/2023,12/01/2026
391,Kippie,Peckham,04/01/2023,09/07/2026
392,Lawton,Spurret,12/16/2022,08/15/2026
393,Lazar,Vail,11/26/2023,10/24/2026
394,Nicolais,Morhall,01/03/2023,09/27/2026
395,Ferd,Cordy,04/15/2022,08/10/2026
396,Arvin,Walkowski,08/04/2022,10/31/2026
397,Farleigh,Siddle,06/06/2022,06/13/2026
398,Skye,Sallan,08/09/2023,04/09/2026
399,Derby,Weiser,11/18/2023,08/11/2026
400,Hart,Ciciura,09/19/2022,11/29/2026
